datetime,Emmanuel MACRON,Marine LE PEN,Jean-Luc MÉLENCHON,Éric ZEMMOUR,Valérie PÉCRESSE,Yannick JADOT,Jean LASSALLE,Fabien ROUSSEL,Nicolas DUPONT-AIGNAN,Anne HIDALGO,Philippe POUTOU,Nathalie ARTHAUD
2022-04-10T22:21+02:00,19.70,19.93,13.70,4.92,3.44,3.00,2.84,1.77,1.71,1.30,0.61,0.47
2022-04-10T22:24+02:00,19.76,19.87,13.74,4.92,3.44,3.01,2.80,1.77,1.70,1.30,0.61,0.47
2022-04-10T22:42+02:00,19.85,19.64,13.90,5.00,3.43,3.05,2.72,1.77,1.68,1.29,0.60,0.46
2022-04-10T22:47+02:00,19.87,19.55,13.95,5.03,3.44,3.07,2.70,1.77,1.67,1.29,0.60,0.45
2022-04-10T22:52+02:00,19.91,19.43,14.03,5.03,3.44,3.11,2.68,1.76,1.67,1.29,0.60,0.45
2022-04-10T22:57+02:00,19.95,19.33,14.08,5.05,3.45,3.12,2.65,1.76,1.66,1.29,0.59,0.45
2022-04-10T23:02+02:00,19.99,19.24,14.13,5.04,3.45,3.14,2.63,1.76,1.65,1.29,0.59,0.45
2022-04-10T23:07+02:00,19.98,19.10,14.27,5.04,3.44,3.15,2.61,1.76,1.64,1.29,0.59,0.45
2022-04-10T23:12+02:00,19.99,19.01,14.35,5.03,3.44,3.15,2.59,1.76,1.64,1.29,0.59,0.45
2022-04-10T23:17+02:00,20.01,18.83,14.50,5.03,3.44,3.18,2.57,1.75,1.63,1.29,0.59,0.44
2022-04-10T23:22+02:00,20.01,18.80,14.53,5.04,3.44,3.18,2.55,1.75,1.62,1.29,0.58,0.44
2022-04-10T23:27+02:00,20.04,18.76,14.53,5.05,3.45,3.18,2.55,1.75,1.62,1.29,0.58,0.44
2022-04-10T23:32+02:00,20.06,18.67,14.60,5.06,3.46,3.19,2.53,1.74,1.61,1.29,0.58,0.44
2022-04-10T23:37+02:00,20.05,18.59,14.63,5.06,3.46,3.19,2.52,1.74,1.61,1.28,0.58,0.44
