datetime,Emmanuel MACRON,Marine LE PEN,Jean-Luc MÉLENCHON,Éric ZEMMOUR,Valérie PÉCRESSE,Yannick JADOT,Jean LASSALLE,Fabien ROUSSEL,Nicolas DUPONT-AIGNAN,Anne HIDALGO,Philippe POUTOU,Nathalie ARTHAUD
2022-04-10T22:21+02:00,5482361,5547585,3813387,1368780,956274,835689,789196,492998,475508,361676,170033,131336
2022-04-10T22:24+02:00,5702450,5733494,3963826,1420252,991648,868527,808852,511019,491125,374367,175581,135606
2022-04-10T22:42+02:00,6415036,6347999,4494292,1614995,1109384,986515,879765,573119,542244,418300,193584,148142
2022-04-10T22:47+02:00,6605735,6502252,4637101,1672385,1143115,1020715,896300,587047,556292,428394,198126,151142
2022-04-10T22:52+02:00,6761995,6598834,4764572,1707108,1167786,1054502,910199,599245,565513,439705,202220,153857
2022-04-10T22:57+02:00,6963966,6748654,4915396,1763025,1203495,1088740,926216,613912,579861,449878,206986,157316
2022-04-10T23:02+02:00,7125381,6857222,5035983,1797364,1228520,1118062,938939,627287,589043,461088,211097,160364
2022-04-10T23:07+02:00,7300805,6979823,5216140,1841819,1257210,1150211,954338,642890,600970,472676,215819,163505
2022-04-10T23:12+02:00,7430860,7066089,5333550,1871735,1278212,1172058,964550,652921,608942,480047,218902,165866
2022-04-10T23:17+02:00,7635803,7186306,5534939,1920175,1312133,1211972,980227,668583,620951,493538,223819,169283
2022-04-10T23:22+02:00,7759689,7291117,5635840,1954966,1334365,1231804,990024,678560,629150,500263,226640,171569
2022-04-10T23:27+02:00,7808099,7309533,5659725,1965872,1344315,1238856,992576,680687,631262,502057,227326,172047
2022-04-10T23:32+02:00,7939617,7390659,5781061,2004536,1368445,1263509,1002658,690102,639328,509353,230281,174004
2022-04-10T23:37+02:00,8016319,7431051,5847232,2023353,1383829,1276930,1007603,694617,643452,513412,231853,175185
2022-04-10T23:42+02:00,8115187,7503090,5974205,2052849,1401199,1294535,1015365,703435,651938,519258,234600,177022
2022-04-10T23:47+02:00,8145020,7516229,5997074,2063556,1410434,1299336,1017095,704899,653542,520319,235117,177394
2022-04-10T23:52+02:00,8242644,7574465,6101744,2093046,1428668,1317763,1024742,713150,659652,525973,237361,178937
2022-04-10T23:57+02:00,8315488,7601937,6181132,2109757,1442387,1333975,1028329,717547,662961,530596,238993,179946
2022-04-11T00:02+02:00,8347503,7615202,6202188,2116567,1449709,1340017,1030205,719233,664503,532114,239555,180276
2022-04-11T00:12+02:00,8449421,7675340,6331649,2143040,1467415,1357255,1036874,728088,670928,537677,242165,182058
2022-04-11T00:17+02:00,8531342,7708124,6460538,2163159,1481617,1374636,1040825,735331,674329,542468,244335,183574
2022-04-11T00:22+02:00,8548719,7717397,6490150,2167794,1484507,1377095,1041766,736421,675377,543414,244779,183916
2022-04-11T00:27+02:00,8627017,7751206,6568846,2184359,1498157,1389964,1046375,741430,679017,546930,246413,185030
2022-04-11T00:32+02:00,8659234,7767955,6623538,2192139,1503645,1398850,1048483,745629,681109,549403,247724,185899
2022-04-11T00:37+02:00,8684515,7775762,6642232,2198826,1509133,1402426,1049635,746977,682111,550227,248124,186162
2022-04-11T00:42+02:00,8713923,7795286,6701382,2207190,1513552,1406243,1051402,749406,683508,551393,248644,186560
2022-04-11T00:47+02:00,8807706,7829700,6804444,2229626,1530005,1427513,1056130,754710,687607,557218,250594,187816
2022-04-11T00:52+02:00,8852602,7850997,6882495,2241098,1536535,1438302,1059281,758258,690058,560848,251898,188519
2022-04-11T00:57+02:00,8856349,7853444,6886346,2242069,1537356,1439011,1059539,758627,690395,561000,251997,188599
2022-04-11T01:02+02:00,8957852,7889599,6990524,2263709,1552746,1461111,1065663,764224,694604,567508,254517,189850
2022-04-11T01:07+02:00,8960698,7891422,6998843,2264357,1553140,1461407,1065823,764449,694771,567633,254610,189914
2022-04-11T01:12+02:00,8978260,7909760,7013076,2274283,1556593,1464063,1067738,765775,696438,568414,255044,190173
2022-04-11T01:17+02:00,9018245,7944986,7052086,2296289,1564612,1470635,1070659,768450,699496,570125,255888,190689
2022-04-11T01:22+02:00,9039707,7952111,7081924,2300669,1568647,1474081,1071608,769668,700348,571009,256257,190972
2022-04-11T01:27+02:00,9039707,7952111,7081924,2300669,1568647,1474081,1071608,769669,700348,571009,256257,190971
2022-04-11T01:32+02:00,9091679,7970921,7154688,2313268,1576136,1488536,1076892,773754,702708,576058,257659,191618
2022-04-11T02:02+02:00,9091680,7970921,7154688,2313268,1576136,1488536,1076892,773754,702708,576058,257659,191618
2022-04-11T02:07+02:00,9107913,7978302,7178491,2317649,1578137,1492511,1077846,774955,703537,577413,258117,191883
2022-04-11T02:12+02:00,9107913,7978303,7178491,2317649,1578137,1492511,1077846,774955,703537,577413,258117,191883
2022-04-11T02:17+02:00,9107913,7978303,7178492,2317649,1578137,1492511,1077846,774955,703538,577413,258117,191883
2022-04-11T02:22+02:00,9107914,7978304,7178492,2317649,1578137,1492511,1077846,774955,703538,577413,258117,191883
2022-04-11T02:27+02:00,9107914,7978305,7178492,2317649,1578137,1492511,1077846,774955,703539,577413,258117,191883
