datetime,Emmanuel MACRON,Marine LE PEN
2022-04-24T21:21+02:00,51.57,48.43
2022-04-24T21:26+02:00,51.79,48.21
2022-04-24T21:31+02:00,52.28,47.72
2022-04-24T21:36+02:00,52.59,47.41
2022-04-24T21:41+02:00,52.71,47.29
2022-04-24T21:46+02:00,53.12,46.88
2022-04-24T21:51+02:00,53.27,46.73
2022-04-24T21:56+02:00,53.31,46.69
2022-04-24T22:01+02:00,53.71,46.29
2022-04-24T22:06+02:00,53.91,46.09
2022-04-24T22:11+02:00,54.07,45.93
2022-04-24T22:16+02:00,54.20,45.80
2022-04-24T22:21+02:00,54.39,45.61
2022-04-24T22:26+02:00,54.56,45.44
2022-04-24T22:31+02:00,54.69,45.31
2022-04-24T22:36+02:00,54.81,45.19
2022-04-24T22:41+02:00,54.91,45.09
2022-04-24T22:46+02:00,55.12,44.88
2022-04-24T22:51+02:00,55.48,44.52
2022-04-24T22:56+02:00,55.60,44.40
2022-04-24T23:01+02:00,55.72,44.28
