datetime,Emmanuel MACRON,Marine LE PEN
2022-04-24T21:21+02:00,34.53,32.43
2022-04-24T21:26+02:00,34.69,32.29
2022-04-24T21:31+02:00,35.06,32.00
2022-04-24T21:36+02:00,35.27,31.79
2022-04-24T21:41+02:00,35.35,31.71
2022-04-24T21:46+02:00,35.62,31.45
2022-04-24T21:51+02:00,35.72,31.34
2022-04-24T21:56+02:00,35.75,31.32
2022-04-24T22:01+02:00,36.03,31.05
2022-04-24T22:06+02:00,36.14,30.90
2022-04-24T22:11+02:00,36.23,30.78
2022-04-24T22:16+02:00,36.31,30.68
2022-04-24T22:21+02:00,36.41,30.53
2022-04-24T22:26+02:00,36.50,30.40
2022-04-24T22:31+02:00,36.57,30.30
2022-04-24T22:36+02:00,36.65,30.21
2022-04-24T22:41+02:00,36.66,30.11
2022-04-24T22:46+02:00,36.81,29.97
2022-04-24T22:51+02:00,37.01,29.70
2022-04-24T22:56+02:00,37.09,29.62
2022-04-24T23:01+02:00,37.17,29.54
2022-04-24T23:06+02:00,37.25,29.43
2022-04-24T23:11+02:00,37.30,29.33
2022-04-24T23:16+02:00,37.33,29.26
2022-04-24T23:21+02:00,37.42,29.17
2022-04-24T23:26+02:00,37.46,29.08
2022-04-24T23:31+02:00,37.56,28.95
2022-04-24T23:36+02:00,37.59,28.90
2022-04-24T23:41+02:00,37.61,28.82
2022-04-24T23:46+02:00,37.65,28.73
2022-04-24T23:51+02:00,37.66,28.66
2022-04-24T23:56+02:00,37.64,28.43
