datetime,Emmanuel MACRON,Marine LE PEN
2022-04-24T21:21+02:00,7403960,6953448
2022-04-24T21:26+02:00,7928427,7379537
2022-04-24T21:31+02:00,8560895,7813053
2022-04-24T21:36+02:00,9153320,8250232
2022-04-24T21:41+02:00,9627721,8637775
2022-04-24T21:46+02:00,10155231,8963952
2022-04-24T21:51+02:00,10618527,9315987
2022-04-24T21:56+02:00,11063907,9691476
2022-04-24T22:01+02:00,11609152,10004328
2022-04-24T22:06+02:00,12118347,10359645
2022-04-24T22:11+02:00,12381340,10518942
2022-04-24T22:16+02:00,12720020,10747758
2022-04-24T22:21+02:00,13074848,10963802
